"id","crime_id","accused_id","raw_drug_name","raw_quantity","raw_unit","primary_drug_name","drug_form","weight_g","weight_kg","volume_ml","volume_l","count_total","confidence_score","extraction_metadata","is_commercial","seizure_worth","created_at","updated_at"
"00d571c9-8e8c-4124-aa8d-1ea15146c5d5","62aa9b9ea2d2490c539be447",NULL,"Ganja","83.000000","grams","Ganja","solid","83.000000","0.083000",NULL,NULL,"0.000000","0.95","{""accused_ref"": ""A2"", ""source_sentence"": ""In the same manner the complainant has opened the 08 packets of ganja from the cover of second person Mohd. Riyaz and made the homogeneous mixture of the ganja as it was identical, weighed the ganja and found to be 83 grams which may reduce its weight if dried further, packed in a cover, seized it by marking as M2 and pasted the signed chits of above panchas.""}",False,"0.0","2026-03-05 06:36:57.416284+00","2026-03-05 06:36:57.416284+00"
"02b24ad6-e979-4460-baa6-9f788b47dfe9","629f70c6699c333d21fbaa5d",NULL,"Ganja","30.000000","grams","Ganja","solid","30.000000","0.030000",NULL,NULL,"0.000000","0.95","{""accused_ref"": ""A1"", ""source_sentence"": ""seized 01 Packet of 30 Grams and amount of Rs 500/- from his possession""}",False,"0.0","2026-03-05 06:36:57.416284+00","2026-03-05 06:36:57.416284+00"
"0b1def15-6c11-421d-b6d1-a98260f2ca20","62c05154447aa04b578c42d0",NULL,"Dry Ganja","150.000000","grams","Ganja","solid","150.000000","0.150000",NULL,NULL,"0.000000","0.95","{""accused_ref"": ""A3"", ""source_sentence"": ""on the strength of confession of accused A-1 to A-3 recovered 200 grams, 150 grams and 150 grams respectively, all 500 grams, W/Rs. 10, 000/-""}",False,"3000.0","2026-03-05 06:38:41.874828+00","2026-03-05 06:38:41.874828+00"
"0c47407b-62f4-404b-9199-d71d763cbcae","62be05f1447aa0240188b9b1",NULL,"Ganja","21.000000","grams","Ganja","solid","21.000000","0.021000",NULL,NULL,"0.000000","0.95","{""accused_ref"": ""A1"", ""source_sentence"": ""M8-21 Grams""}",False,"0.0","2026-03-05 06:38:11.660985+00","2026-03-05 06:38:11.660985+00"
"11002c6d-cfcd-4e94-8032-fddc6205acc0","62be05f1447aa0240188b9b1",NULL,"Ganja","23.000000","grams","Ganja","solid","23.000000","0.023000",NULL,NULL,"0.000000","0.95","{""accused_ref"": ""A1"", ""source_sentence"": ""M7-23 Grams""}",False,"0.0","2026-03-05 06:38:11.660985+00","2026-03-05 06:38:11.660985+00"
"23b10a56-d24f-4a4e-83c7-a67ec017f711","62cd1b25842779f5ae877959",NULL,"MDMA","10.000000","grams","MDMA","solid","10.000000","0.010000",NULL,NULL,"0.000000","0.95","{""accused_ref"": ""A3"", ""source_sentence"": ""found (10 grms) MDMA drug from A-3""}",False,"0.0","2026-03-05 06:39:07.247512+00","2026-03-05 06:39:07.247512+00"
"26486e40-0c00-40d9-9811-0898f782a3c8","62b2feb46e2f9545fc4a69bd",NULL,"Hash Oil","0.000000","Unknown","Hashish/Weed Oil","liquid","0.000000","0.000000",NULL,NULL,"0.000000","0.95","{""accused_ref"": ""A1"", ""source_sentence"": ""seized 05 Hash Oil Bottles and two cell phones from their possession""}",False,"0.0","2026-03-05 06:37:50.252559+00","2026-03-05 06:37:50.252559+00"
"2ec64dc3-5ace-44da-9d44-e9d9a8153286","62be05f1447aa0240188b9b1",NULL,"Ganja","12.000000","grams","Ganja","solid","12.000000","0.012000",NULL,NULL,"0.000000","0.95","{""accused_ref"": ""A1"", ""source_sentence"": ""M9-12 Grams""}",False,"0.0","2026-03-05 06:38:11.660985+00","2026-03-05 06:38:11.660985+00"
"32edcc47-f681-41e0-a75f-307830682553","62be05f1447aa0240188b9b1",NULL,"Ganja","911.000000","grams","Ganja","solid","911.000000","0.911000",NULL,NULL,"0.000000","0.95","{""accused_ref"": ""A1"", ""source_sentence"": ""M2 911 Grams""}",False,"0.0","2026-03-05 06:38:11.660985+00","2026-03-05 06:38:11.660985+00"
"33956359-21d1-4239-bd1a-462c6d96b91b","629f70c6699c333d21fbaa5d",NULL,"Ganja","10.000000","grams","Ganja","solid","10.000000","0.010000",NULL,NULL,"0.000000","0.95","{""accused_ref"": ""A2"", ""source_sentence"": ""seized 01 Packet of 10 Grams from his possession""}",False,"0.0","2026-03-05 06:36:57.416284+00","2026-03-05 06:36:57.416284+00"
